Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Density,ZIP
6.24,0.180508316,4149400,227.1153202,8,0.2025,0.014544309,92672
6.24,0.180508316,4149400,227.1153202,8,0.2025,0.014544309,92672
5,0.114409822,2821800,98.41591895,82,0.2175,0.023477819,92626
5,0.114409822,2821800,98.41591895,82,0.2175,0.023477819,92626
5,0.114409822,2821800,98.41591895,82,0.2175,0.023477819,92626
12.38,0.195263421,376000,1.460718582,14,0.2085,0.005522624,93711
12.38,0.195263421,376000,1.460718582,14,0.2085,0.005522624,93711
8.76,0.180508316,4789200,22.27587347,84,0.2025,0.014544309,92037
13.76,0.114409822,934700,98.41591895,3,0.2275,0.015706776,91767
8.76,0.137173751,1599500,98.41591895,3,0.2125,0.023477819,92841
8.76,0.137173751,1599500,98.41591895,3,0.2125,0.023477819,92841
12.38,0.195263421,730100,2.242794509,10,0.2175,0.021320467,95403
5,0.180508316,2470700,227.1153202,5,0.2025,0.023477819,92673
5,0.180508316,2470700,227.1153202,5,0.2025,0.023477819,92673
11.76,0.137173751,1746900,98.41591895,5,0.2025,0.023477819,92801
6.24,0.195263421,4584600,125.2839303,35,0.21875,0.042417775,95008
11.76,0.114409822,1572900,98.41591895,2,0.2275,0.015706776,91733
12.38,0.195263421,83500,3.606238302,3,0.1975,0.014130337,95713
11.76,0.137173751,1734900,98.41591895,7,0.2125,0.023477819,92806
5.24,0.138950817,995500,227.182337,15,0.22,0.015706776,91311
12.38,0.195263421,64700,1.460718582,3,0.2025,0.003396199,93644
12.38,0.195263421,64700,1.460718582,3,0.2025,0.003396199,93644
10.24,0.183785529,8268700,125.2839303,339,0.22375,0.032874461,94025
12.38,0.195263421,177800,33.51163594,6,0.21475,0.005522624,93210
12.38,0.195263421,177800,33.51163594,6,0.21475,0.005522624,93210
6.24,0.195263421,4584600,125.2839303,35,0.21875,0.042417775,95008
6.24,0.195263421,4584600,125.2839303,35,0.21875,0.042417775,95008
6.24,0.195263421,4584600,125.2839303,35,0.21875,0.042417775,95008
6.24,0.195263421,4332750,82.13388047,41,0.2275,0.028380844,94612
14,0.195263421,5167500,82.13388047,32,0.22375,0.032874461,94403
14,0.195263421,5167500,82.13388047,32,0.22375,0.032874461,94403
14,0.195263421,5167500,82.13388047,32,0.22375,0.032874461,94403
14,0.195263421,5167500,82.13388047,32,0.22375,0.032874461,94403
6.24,0.137173751,2037700,98.41591895,4,0.2125,0.023477819,90620
5,0.195263421,3445500,82.13388047,123,0.22375,0.032874461,94080
5,0.195263421,3445500,82.13388047,123,0.22375,0.032874461,94080
5.99,0.114409822,5406300,98.41591895,211,0.2025,0.023477819,92618
8.76,0.183785529,3726700,125.2839303,4,0.21875,0.042417775,95070
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
