Fuel Type Code,Station Name,City,Street Address,State,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Access Code,Facility Type,L1 $/Hr,L1 flat,L1 $/kWh,L2 $/hr,L2 flat,L2 $/kWh,DCFC $/Hr,DCFC flat,DCFC $/kWh,,
ELEC,JOHNSON COUNTY BLUE VALLEY,Overland Park,9200 W 151st St,KS,66221,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CARLETON JAMES HALL EAST,Northfield,140 Nevada St,MN,55057,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.3,,,,0,0.3
ELEC,CARCHARGING MICROTEL INN,Harrisonburg,85 Pleasant Valley Rd,VA,22801,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.45,,,,0,0.45
ELEC,CARCHARGING ROUNDY'S,Shorewood Hills,3650 University Ave.,WI,53705,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.49,,,,0,0.49
ELEC,PARKWAY 12 & FILBERT 2,Philadelphia,1201 Filbert St,PA,19107,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,GEORGE MASON U SHENANDOAH 2,Fairfax,4400 University Dr,VA,22030,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,City of Wilmington - Market Street Parking Deck,Wilmington,115 Market St,NC,28401,2,,ChargePoint Network,http://www.chargepoint.com/,public,PAY_GARAGE,,,,,,,,,,0,0
ELEC,WASHOE HEALTH 1001 E NINTH 2,Reno,1001 E 9th St,NV,89512,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,TECO MVC EVSE 01,Apollo Beach,6998 Dickman Rd,FL,33572,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,PEOPLESBANK 547 MEMORIAL,West Springfield,547 Memorial Ave,MA,1089,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
