,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
234,55057.0,0.10325292224999999,145900.0,17.36271531,5.0,0.07375,6.0
235,55102.0,0.104944077,426100.0,9.403317264,9.0,0.07875,3.0
236,55104.0,0.104944077,471500.0,9.403317264,7.0,0.07875,3.0
237,55109.0,0.104944077,212300.0,9.403317264,4.0,0.07875,1.5
238,55113.0,0.104944077,294800.0,9.403317264,4.0,0.08025,3.0
239,55119.0,0.104944077,191800.0,9.403317264,20.0,0.07875,4.188
240,55123.0,0.104944077,231800.0,9.403317264,3.0,0.07125,4.5
241,55330.0,0.1119567075,95600.0,51.50613679,3.0,0.07875,2.9699999999999998
242,55391.0,0.10357586499999999,475300.0,51.50613679,2.0,0.07525,3.0
243,55416.0,0.104944077,830200.0,9.403317264,7.0,0.08025,5.9399999999999995
244,55425.0,0.104944077,226000.0,9.403317264,2.0,0.07525,3.0
245,55430.0,0.104944077,174700.0,9.403317264,1.0,0.08025,3.0
246,55449.0,0.1063684935,258900.0,9.403317264,1.0,0.07375,1.98
247,55802.0,0.103248065,561500.0,0.756960177,2.0,0.08875,10.0
248,56001.0,0.10417931566666667,128500.0,84.9963481,4.0,0.07875,3.0
249,56073.0,0.11080583050000001,135200.0,84.9963481,1.0,0.07875,3.7800000000000002
250,59716.0,0.0718666715,374400.0,0.904527724,2.0,0.0,6.0
251,60004.0,0.06538408400000001,636100.0,73.70362386,1.0,0.1,1.5
252,60007.0,0.06538408400000001,467700.0,73.70362386,1.0,0.1025,1.5
253,60008.0,0.06538408400000001,405800.0,73.70362386,4.0,0.1,1.5
254,60045.0,0.06538408400000001,501200.0,73.70362386,3.0,0.08,3.0
255,60056.0,0.06538408400000001,542700.0,73.70362386,3.0,0.1025,1.5
256,60062.0,0.06538408400000001,730700.0,73.70362386,3.0,0.1,1.6
257,60068.0,0.06538408400000001,1109200.0,73.70362386,1.0,0.1025,3.0
258,60089.0,0.06538408400000001,549500.0,73.70362386,5.0,0.1,1.5
259,60090.0,0.06538408400000001,411200.0,73.70362386,3.0,0.1,1.5
260,60115.0,0.06538408400000001,97600.0,64.60064636,16.0,0.08,3.0
261,60123.0,0.06538408400000001,164500.0,73.70362386,4.0,0.085,3.0
262,60134.0,0.0956176098,353600.0,73.70362386,7.0,0.08,2.985
263,60188.0,0.06538408400000001,307200.0,73.70362386,1.0,0.0825,7.125
264,60202.0,0.06538408400000001,1254000.0,73.70362386,6.0,0.1025,7.92
265,60431.0,0.06538408400000001,145100.0,73.70362386,1.0,0.09,3.0
266,60453.0,0.06538408400000001,334900.0,73.70362386,5.0,0.1025,3.0
267,60510.0,0.0872142915,230800.0,73.70362386,1.0,0.0825,7.92
268,60515.0,0.06538408400000001,704800.0,73.70362386,6.0,0.08,5.0
269,60540.0,0.080824949,634200.0,73.70362386,2.0,0.0775,3.0
270,60605.0,0.06538408400000001,6473900.0,73.70362386,7.0,0.1025,2.8000000000000003
271,60607.0,0.06538408400000001,4096300.0,73.70362386,11.0,0.1025,3.0
272,60626.0,0.06538408400000001,1121400.0,73.70362386,1.0,0.1025,3.0
273,64014.0,0.09718399999999999,103500.0,2.698384115,12.0,0.096,4.515
274,64015.0,0.09718399999999999,101500.0,2.698384115,3.0,0.096,4.515
275,64029.0,0.09107803533333332,90400.0,2.698384115,3.0,0.096,4.515
276,64030.0,0.0946101575,51800.0,39.08764145,8.0,0.096,4.6049999999999995
277,64040.0,0.09543747333333334,26200.0,2.698384115,2.0,0.096,4.545
278,64050.0,0.108426968,46500.0,2.698384115,1.0,0.09225,4.875
279,64057.0,0.1016850835,72500.0,2.698384115,5.0,0.0935,5.025
280,64063.0,0.085941032,102100.0,2.698384115,3.0,0.0885,4.574999999999999
281,64064.0,0.09718399999999999,159500.0,2.698384115,7.0,0.09225,4.574999999999999
282,64067.0,0.0938027045,35000.0,2.698384115,8.0,0.0835,4.5
283,64068.0,0.0936135655,100400.0,2.698384115,8.0,0.1085,4.5600000000000005
284,64070.0,0.09543747333333334,47300.0,2.698384115,3.0,0.081,5.985
285,64075.0,0.085941032,64400.0,2.698384115,3.0,0.096,4.515
286,64080.0,0.09543747333333334,60400.0,2.698384115,3.0,0.091,4.695
287,64081.0,0.09107803533333332,134700.0,2.698384115,16.0,0.0985,4.574999999999999
288,64085.0,0.0947333535,36000.0,2.698384115,3.0,0.09225,4.53
289,64089.0,0.09231890066666666,98300.0,39.08764145,3.0,0.09475,4.5
